Iteration	expected_value	risk	lambda
62	2375.883	2334.834	0.060
63	2375.883	2334.834	0.060
64	2375.883	2334.834	0.060
65	2375.883	2334.834	0.060
66	2375.883	2334.834	0.060
67	2375.883	2334.834	0.060
68	2375.883	2334.834	0.060
69	2375.883	2334.834	0.060
70	2375.883	2334.834	0.060
71	2375.883	2334.834	0.060
72	2375.883	2334.834	0.060
73	2375.883	2334.834	0.060
74	2375.883	2334.834	0.060
75	2375.883	2334.834	0.060
76	2375.883	2334.834	0.060
77	2375.883	2334.834	0.060
78	2375.883	2334.834	0.060
79	2375.883	2334.834	0.060
80	2375.883	2334.834	0.060
81	2375.883	2334.834	0.060
82	2375.883	2334.834	0.060
83	2375.883	2334.834	0.060
84	2375.883	2334.834	0.060
85	2375.883	2334.834	0.060
86	2375.883	2334.834	0.060
87	2375.883	2334.834	0.060
88	2375.883	2334.834	0.060
89	2375.883	2334.834	0.060
90	2375.883	2334.834	0.060
91	2375.883	2334.834	0.060
92	2375.883	2334.834	0.060
93	2375.883	2334.834	0.060
94	2375.883	2334.834	0.060
95	2375.883	2334.834	0.060
96	2375.883	2334.834	0.060
97	2375.883	2334.834	0.060
98	2375.883	2334.834	0.060
99	2375.883	2334.834	0.060
1	1000.390	1461.364	0.070
2	1358.634	1421.607	0.070
3	1377.909	1821.107	0.070
4	1158.679	2850.383	0.070
5	1685.784	2577.634	0.070
6	1357.304	1354.793	0.070
7	1409.704	3022.294	0.070
8	2002.118	1444.339	0.070
9	2272.595	3325.027	0.070
10	1554.383	2413.340	0.070
11	2305.326	2394.013	0.070
12	2305.326	2394.013	0.070
13	2470.508	1748.467	0.070
14	2163.998	3706.989	0.070
15	1859.741	1722.277	0.070
16	1859.741	1722.277	0.070
17	1859.741	1722.277	0.070
18	1163.534	2264.044	0.070
19	1163.534	2264.044	0.070
20	1163.534	2264.044	0.070
21	1163.534	2264.044	0.070
22	1903.179	2569.093	0.070
23	1874.757	2379.124	0.070
24	1355.728	2578.696	0.070
25	2654.258	2469.409	0.070
26	2654.258	2469.409	0.070
27	1861.641	3690.510	0.070
28	1576.548	3194.237	0.070
29	1570.208	2103.957	0.070
30	1892.811	5382.648	0.070
31	2474.964	5595.903	0.070
32	1688.794	3295.863	0.070
33	1688.794	3295.863	0.070
34	1688.794	3295.863	0.070
35	1688.794	3295.863	0.070
36	1688.794	3295.863	0.070
37	1688.794	3295.863	0.070
38	1688.794	3295.863	0.070
39	1688.794	3295.863	0.070
40	1688.794	3295.863	0.070
41	1688.794	3295.863	0.070
42	1688.794	3295.863	0.070
43	1688.794	3295.863	0.070
44	1688.794	3295.863	0.070
45	1688.794	3295.863	0.070
46	1688.794	3295.863	0.070
47	1688.794	3295.863	0.070
48	1688.794	3295.863	0.070
49	1688.794	3295.863	0.070
50	1688.794	3295.863	0.070
51	1688.794	3295.863	0.070
52	1688.794	3295.863	0.070
53	1688.794	3295.863	0.070
54	1688.794	3295.863	0.070
55	1688.794	3295.863	0.070
56	1688.794	3295.863	0.070
57	1688.794	3295.863	0.070
58	1688.794	3295.863	0.070
59	1688.794	3295.863	0.070
60	1688.794	3295.863	0.070
61	1688.794	3295.863	0.070
62	1688.794	3295.863	0.070
63	1688.794	3295.863	0.070
64	1688.794	3295.863	0.070
65	1688.794	3295.863	0.070
66	1688.794	3295.863	0.070
67	1688.794	3295.863	0.070
68	1688.794	3295.863	0.070
69	1688.794	3295.863	0.070
70	1688.794	3295.863	0.070
71	1688.794	3295.863	0.070
72	1688.794	3295.863	0.070
73	1688.794	3295.863	0.070
74	1688.794	3295.863	0.070
75	1688.794	3295.863	0.070
76	1688.794	3295.863	0.070
77	1688.794	3295.863	0.070
78	1688.794	3295.863	0.070
79	1688.794	3295.863	0.070
80	1688.794	3295.863	0.070
81	1688.794	3295.863	0.070
82	1688.794	3295.863	0.070
83	1688.794	3295.863	0.070
84	1688.794	3295.863	0.070
85	1688.794	3295.863	0.070
86	1688.794	3295.863	0.070
87	1688.794	3295.863	0.070
88	1688.794	3295.863	0.070
89	1688.794	3295.863	0.070
90	1688.794	3295.863	0.070
91	1688.794	3295.863	0.070
92	1688.794	3295.863	0.070
93	1688.794	3295.863	0.070
94	1688.794	3295.863	0.070
95	1688.794	3295.863	0.070
96	1688.794	3295.863	0.070
97	1688.794	3295.863	0.070
98	1688.794	3295.863	0.070
99	1688.794	3295.863	0.070
1	1143.303	1445.651	0.080
2	1552.725	1406.321	0.080
3	1574.753	1801.525	0.080
4	1324.205	2819.734	0.080
5	1926.610	2549.918	0.080
6	1551.205	1340.225	0.080
7	1611.091	2989.796	0.080
8	2288.135	1428.808	0.080
9	2597.251	3289.274	0.080
10	1776.437	2387.390	0.080
11	2634.658	2368.271	0.080
12	2634.658	2368.271	0.080
13	2823.438	1729.666	0.080
14	2473.141	3667.129	0.080
15	2125.419	1703.758	0.080
16	2125.419	1703.758	0.080
17	2125.419	1703.758	0.080
18	1329.753	2239.700	0.080
19	1329.753	2239.700	0.080
20	1329.753	2239.700	0.080
21	1329.753	2239.700	0.080
22	2175.061	2541.468	0.080
23	2142.580	2353.542	0.080
24	1549.404	2550.968	0.080
25	3033.438	2442.856	0.080
26	3033.438	2442.856	0.080
27	2127.589	3650.827	0.080
28	1801.769	3159.891	0.080
29	1794.523	2081.334	0.080
30	2163.212	5324.771	0.080
31	2828.530	5535.732	0.080
32	1930.051	3260.423	0.080
33	1930.051	3260.423	0.080
34	1930.051	3260.423	0.080
35	1930.051	3260.423	0.080
36	1930.051	3260.423	0.080
37	1930.051	3260.423	0.080
38	1930.051	3260.423	0.080
39	1930.051	3260.423	0.080
40	1930.051	3260.423	0.080
41	1930.051	3260.423	0.080
42	1930.051	3260.423	0.080
43	1930.051	3260.423	0.080
44	1930.051	3260.423	0.080
45	1930.051	3260.423	0.080
46	1930.051	3260.423	0.080
47	1930.051	3260.423	0.080
48	1930.051	3260.423	0.080
49	1930.051	3260.423	0.080
50	1930.051	3260.423	0.080
51	1930.051	3260.423	0.080
52	1930.051	3260.423	0.080
53	1930.051	3260.423	0.080
54	1930.051	3260.423	0.080
55	1930.051	3260.423	0.080
56	1930.051	3260.423	0.080
57	1930.051	3260.423	0.080
58	1930.051	3260.423	0.080
59	1930.051	3260.423	0.080
60	1930.051	3260.423	0.080
61	1930.051	3260.423	0.080
62	1930.051	3260.423	0.080
63	1930.051	3260.423	0.080
64	1930.051	3260.423	0.080
65	1930.051	3260.423	0.080
66	1930.051	3260.423	0.080
67	1930.051	3260.423	0.080
68	1930.051	3260.423	0.080
69	1930.051	3260.423	0.080
70	1930.051	3260.423	0.080
71	1930.051	3260.423	0.080
72	1930.051	3260.423	0.080
73	1930.051	3260.423	0.080
74	1930.051	3260.423	0.080
75	1930.051	3260.423	0.080
76	1930.051	3260.423	0.080
77	1930.051	3260.423	0.080
78	1930.051	3260.423	0.080
79	1930.051	3260.423	0.080
80	1930.051	3260.423	0.080
81	1930.051	3260.423	0.080
82	1930.051	3260.423	0.080
83	1930.051	3260.423	0.080
84	1930.051	3260.423	0.080
85	1930.051	3260.423	0.080
86	1930.051	3260.423	0.080
87	1930.051	3260.423	0.080
88	1930.051	3260.423	0.080
89	1930.051	3260.423	0.080
90	1930.051	3260.423	0.080
91	1930.051	3260.423	0.080
92	1930.051	3260.423	0.080
93	1930.051	3260.423	0.080
94	1930.051	3260.423	0.080
95	1930.051	3260.423	0.080
96	1930.051	3260.423	0.080
97	1930.051	3260.423	0.080
98	1930.051	3260.423	0.080
99	1930.051	3260.423	0.080
1	1286.216	1429.937	0.090
