Iteration	expected_value	risk	lambda
29	4933.905	2300.986	0.220
30	4933.905	2300.986	0.220
31	7978.001	2185.494	0.220
32	7978.001	2185.494	0.220
33	7978.001	2185.494	0.220
34	7978.001	2185.494	0.220
35	7978.001	2185.494	0.220
36	7978.001	2185.494	0.220
37	7978.001	2185.494	0.220
38	7978.001	2185.494	0.220
39	7978.001	2185.494	0.220
40	7978.001	2185.494	0.220
41	7978.001	2185.494	0.220
42	7978.001	2185.494	0.220
43	7978.001	2185.494	0.220
44	7978.001	2185.494	0.220
45	7978.001	2185.494	0.220
46	7978.001	2185.494	0.220
47	7978.001	2185.494	0.220
48	7978.001	2185.494	0.220
49	7978.001	2185.494	0.220
1	3429.908	1194.233	0.240
2	4658.174	1161.744	0.240
3	6002.381	1812.307	0.240
4	6983.114	2263.228	0.240
5	4668.537	2609.012	0.240
6	5579.975	2224.397	0.240
7	7628.200	2354.447	0.240
8	5455.957	2681.854	0.240
9	5705.698	1359.776	0.240
10	4653.615	1107.143	0.240
11	4641.899	1870.083	0.240
12	7477.955	2392.241	0.240
13	4747.078	1842.880	0.240
14	5210.362	3178.246	0.240
15	5577.547	2279.909	0.240
16	4893.812	1596.035	0.240
17	7176.642	3624.355	0.240
18	8198.597	2225.768	0.240
19	8198.597	2225.768	0.240
20	7858.289	2574.084	0.240
21	5643.092	3931.479	0.240
22	5405.307	2610.344	0.240
23	6178.728	1159.126	0.240
24	8556.470	2020.887	0.240
25	8046.239	2190.761	0.240
26	8559.685	2889.253	0.240
27	5382.442	2241.987	0.240
28	5382.442	2241.987	0.240
29	5382.442	2241.987	0.240
30	5382.442	2241.987	0.240
31	8703.274	2129.456	0.240
32	8703.274	2129.456	0.240
33	8703.274	2129.456	0.240
34	8703.274	2129.456	0.240
35	8703.274	2129.456	0.240
36	8703.274	2129.456	0.240
37	8703.274	2129.456	0.240
38	8703.274	2129.456	0.240
39	8703.274	2129.456	0.240
40	8703.274	2129.456	0.240
41	8703.274	2129.456	0.240
42	8703.274	2129.456	0.240
43	8703.274	2129.456	0.240
44	8703.274	2129.456	0.240
45	8703.274	2129.456	0.240
46	8703.274	2129.456	0.240
47	8703.274	2129.456	0.240
48	8703.274	2129.456	0.240
49	8703.274	2129.456	0.240
1	3715.734	1162.806	0.260
2	5046.356	1131.171	0.260
3	6502.579	1764.615	0.260
4	7565.040	2203.669	0.260
5	5057.582	2540.354	0.260
6	6044.973	2165.860	0.260
7	8263.883	2292.488	0.260
8	5910.620	2611.278	0.260
9	6181.173	1323.993	0.260
10	5041.416	1078.007	0.260
11	5028.724	1820.870	0.260
12	8101.118	2329.288	0.260
13	5142.667	1794.383	0.260
14	5301.630	1554.034	0.260
15	7774.695	3528.977	0.260
16	8881.813	2167.195	0.260
17	8881.813	2167.195	0.260
18	8513.147	2506.345	0.260
19	6113.349	3828.019	0.260
20	5855.749	2541.651	0.260
21	6002.937	2151.113	0.260
22	6002.937	2151.113	0.260
23	6002.937	2151.113	0.260
24	8562.638	1904.914	0.260
25	8562.638	1904.914	0.260
26	9428.547	2073.418	0.260
27	9399.857	3214.076	0.260
28	9269.509	1967.706	0.260
29	9269.509	1967.706	0.260
30	9269.509	1967.706	0.260
31	9269.509	1967.706	0.260
32	9269.509	1967.706	0.260
33	9269.509	1967.706	0.260
34	9269.509	1967.706	0.260
35	9269.509	1967.706	0.260
36	9269.509	1967.706	0.260
37	9269.509	1967.706	0.260
38	9269.509	1967.706	0.260
39	9269.509	1967.706	0.260
40	9269.509	1967.706	0.260
41	9269.509	1967.706	0.260
42	9269.509	1967.706	0.260
43	9269.509	1967.706	0.260
44	9269.509	1967.706	0.260
45	9269.509	1967.706	0.260
46	9269.509	1967.706	0.260
47	9269.509	1967.706	0.260
48	9269.509	1967.706	0.260
49	9269.509	1967.706	0.260
1	4001.560	1131.379	0.280
2	5434.537	1100.599	0.280
3	7002.778	1716.923	0.280
4	8146.967	2144.111	0.280
5	5446.627	2471.695	0.280
6	6509.970	2107.323	0.280
7	8899.567	2230.528	0.280
8	6365.283	2540.703	0.280
9	6656.648	1288.209	0.280
10	5429.218	1048.872	0.280
11	5415.549	1771.657	0.280
12	8724.281	2266.334	0.280
13	5538.257	1745.887	0.280
14	5709.448	1512.033	0.280
15	8372.749	3433.599	0.280
16	9565.030	2108.622	0.280
17	9565.030	2108.622	0.280
18	9168.004	2438.606	0.280
19	6583.607	3724.559	0.280
20	6306.191	2472.958	0.280
21	6464.701	2092.975	0.280
22	6464.701	2092.975	0.280
23	6464.701	2092.975	0.280
24	9221.302	1853.430	0.280
25	9221.302	1853.430	0.280
26	10153.819	2017.379	0.280
27	10122.923	3127.209	0.280
28	9982.549	1914.525	0.280
29	9982.549	1914.525	0.280
30	9982.549	1914.525	0.280
31	9982.549	1914.525	0.280
32	9982.549	1914.525	0.280
33	9982.549	1914.525	0.280
34	9982.549	1914.525	0.280
35	9982.549	1914.525	0.280
36	9982.549	1914.525	0.280
37	9982.549	1914.525	0.280
38	9982.549	1914.525	0.280
39	9982.549	1914.525	0.280
40	9982.549	1914.525	0.280
41	9982.549	1914.525	0.280
42	9982.549	1914.525	0.280
43	9982.549	1914.525	0.280
44	9982.549	1914.525	0.280
45	9982.549	1914.525	0.280
46	9982.549	1914.525	0.280
47	9982.549	1914.525	0.280
48	9982.549	1914.525	0.280
49	9982.549	1914.525	0.280
1	4287.385	1099.951	0.300
2	5822.718	1070.027	0.300
3	7502.976	1669.230	0.300
4	8728.893	2084.552	0.300
5	5835.671	2403.037	0.300
6	6974.968	2048.787	0.300
7	9535.250	2168.569	0.300
8	6819.946	2470.128	0.300
9	7132.123	1252.426	0.300
10	5817.019	1019.737	0.300
11	5802.374	1722.445	0.300
12	6117.266	1470.032	0.300
13	8359.187	2757.900	0.300
14	8527.597	2348.216	0.300
15	10436.413	2266.306	0.300
16	10248.246	2050.049	0.300
17	10248.246	2050.049	0.300
18	9822.862	2370.867	0.300
19	7053.865	3621.099	0.300
20	6639.923	1816.639	0.300
21	6926.466	2034.837	0.300
22	6926.466	2034.837	0.300
23	6926.466	2034.837	0.300
24	9879.967	1801.946	0.300
25	9879.967	1801.946	0.300
26	10879.092	1961.341	0.300
27	10845.989	3040.342	0.300
28	10695.588	1861.343	0.300
29	10695.588	1861.343	0.300
30	10695.588	1861.343	0.300
31	10695.588	1861.343	0.300
32	10695.588	1861.343	0.300
33	10695.588	1861.343	0.300
34	10695.588	1861.343	0.300
35	10695.588	1861.343	0.300
36	10695.588	1861.343	0.300
37	10695.588	1861.343	0.300
38	10695.588	1861.343	0.300
39	10695.588	1861.343	0.300
40	10695.588	1861.343	0.300
41	10695.588	1861.343	0.300
42	10695.588	1861.343	0.300
43	10695.588	1861.343	0.300
44	10695.588	1861.343	0.300
45	10695.588	1861.343	0.300
46	10695.588	1861.343	0.300
47	10695.588	1861.343	0.300
48	10695.588	1861.343	0.300
49	10695.588	1861.343	0.300
1	4573.211	1068.524	0.320
2	6210.899	1039.455	0.320
3	8003.175	1621.538	0.320
4	9310.819	2024.993	0.320
5	6224.716	2334.379	0.320
6	7439.966	1990.250	0.320
7	10170.933	2106.610	0.320
8	7274.609	2399.553	0.320
9	7607.598	1216.642	0.320
10	6204.820	990.601	0.320
11	6189.199	1673.232	0.320
12	6525.083	1428.031	0.320
13	8916.466	2679.103	0.320
14	9096.103	2281.124	0.320
15	11132.174	2201.555	0.320
16	10931.462	1991.477	0.320
17	10931.462	1991.477	0.320
18	10477.719	2303.128	0.320
19	7524.122	3517.639	0.320
20	7082.585	1764.735	0.320
21	7388.230	1976.699	0.320
22	7388.230	1976.699	0.320
23	7388.230	1976.699	0.320
24	10538.631	1750.461	0.320
25	10538.631	1750.461	0.320
26	11604.365	1905.303	0.320
27	11569.055	2953.475	0.320
28	11408.627	1808.162	0.320
29	11408.627	1808.162	0.320
30	11408.627	1808.162	0.320
31	11408.627	1808.162	0.320
32	11408.627	1808.162	0.320
33	11408.627	1808.162	0.320
34	11408.627	1808.162	0.320
35	11408.627	1808.162	0.320
36	11408.627	1808.162	0.320
37	11408.627	1808.162	0.320
38	11408.627	1808.162	0.320
39	11408.627	1808.162	0.320
40	11408.627	1808.162	0.320
41	11408.627	1808.162	0.320
42	11408.627	1808.162	0.320
43	11408.627	1808.162	0.320
44	11408.627	1808.162	0.320
45	11408.627	1808.162	0.320
46	11408.627	1808.162	0.320
47	11408.627	1808.162	0.320
48	11408.627	1808.162	0.320
49	11408.627	1808.162	0.320
1	4859.037	1037.097	0.340
2	6599.080	1008.883	0.340
3	8503.373	1573.846	0.340
4	9892.745	1965.435	0.340
5	6613.761	2265.721	0.340
6	7904.964	1931.713	0.340
7	10806.617	2044.651	0.340
8	7729.272	2328.978	0.340
9	8083.073	1180.858	0.340
10	6592.621	961.466	0.340
11	6576.024	1624.019	0.340
12	6932.901	1386.030	0.340
13	9473.745	2600.306	0.340
14	9664.609	2214.032	0.340
15	11827.935	2136.803	0.340
16	11614.679	1932.904	0.340
17	11614.679	1932.904	0.340
18	11132.577	2235.389	0.340
19	7994.380	3414.179	0.340
20	7525.246	1712.831	0.340
21	7849.994	1918.560	0.340
22	7849.994	1918.560	0.340
23	7849.994	1918.560	0.340
24	11197.296	1698.977	0.340
25	11197.296	1698.977	0.340
26	12329.638	1849.264	0.340
27	12292.121	2866.608	0.340
28	12121.666	1754.981	0.340
29	12121.666	1754.981	0.340
30	12121.666	1754.981	0.340
