Iteration	expexted_value	risk	lambda
46	11139.883	2496.067	0.240
47	11139.883	2496.067	0.240
48	11139.883	2496.067	0.240
49	11139.883	2496.067	0.240
1	10662.665	2434.278	0.260
2	10028.270	1972.936	0.260
3	10295.358	2072.916	0.260
4	10385.972	2251.952	0.260
5	10466.666	2079.491	0.260
6	10998.181	2631.883	0.260
7	11377.156	2226.289	0.260
8	11610.086	2291.524	0.260
9	10902.253	2253.656	0.260
10	10878.212	2744.768	0.260
11	10878.212	2744.768	0.260
12	11443.983	2827.558	0.260
13	11017.503	2152.858	0.260
14	11017.503	2152.858	0.260
15	11377.841	2148.430	0.260
16	11377.841	2148.430	0.260
17	11377.841	2148.430	0.260
18	11124.776	2330.371	0.260
19	11173.705	2226.987	0.260
20	10905.089	2247.785	0.260
21	11900.418	2142.949	0.260
22	11420.405	2187.332	0.260
23	12595.798	2352.440	0.260
24	11642.248	2205.665	0.260
25	11642.248	2205.665	0.260
26	11642.248	2205.665	0.260
27	11642.248	2205.665	0.260
28	10319.439	1987.591	0.260
29	9726.200	1854.599	0.260
30	10759.947	2034.148	0.260
31	11002.985	2325.055	0.260
32	11679.382	2243.155	0.260
33	11615.152	2501.301	0.260
34	11471.350	2199.045	0.260
35	11062.518	2581.846	0.260
36	11085.249	2275.477	0.260
37	11002.961	2560.604	0.260
38	11002.961	2560.604	0.260
39	11002.961	2560.604	0.260
40	11002.961	2560.604	0.260
41	11210.181	2214.433	0.260
42	11117.832	2192.825	0.260
43	11032.571	2024.533	0.260
44	11064.753	2280.636	0.260
45	12068.206	2430.381	0.260
46	12068.206	2430.381	0.260
47	12068.206	2430.381	0.260
48	12068.206	2430.381	0.260
49	12068.206	2430.381	0.260
1	11482.870	2368.487	0.280
2	10799.675	1919.613	0.280
3	11087.308	2016.891	0.280
4	11184.893	2191.089	0.280
5	11271.795	2023.289	0.280
6	11844.195	2560.751	0.280
7	12252.321	2166.119	0.280
8	12503.170	2229.590	0.280
9	11740.888	2192.746	0.280
10	11714.998	2670.585	0.280
11	11714.998	2670.585	0.280
12	12324.289	2751.138	0.280
13	11865.003	2094.672	0.280
14	11865.003	2094.672	0.280
15	12253.060	2090.364	0.280
16	12253.060	2090.364	0.280
17	12253.060	2090.364	0.280
18	11980.528	2267.388	0.280
19	12033.221	2166.798	0.280
20	11743.942	2187.034	0.280
21	12815.835	2085.032	0.280
22	12298.898	2128.214	0.280
23	13564.706	2288.861	0.280
24	12537.806	2146.052	0.280
25	12537.806	2146.052	0.280
26	12537.806	2146.052	0.280
27	12537.806	2146.052	0.280
28	11113.242	1933.873	0.280
29	10474.369	1804.474	0.280
30	11587.636	1979.171	0.280
31	11849.369	2262.215	0.280
32	12577.795	2182.529	0.280
33	12508.625	2433.698	0.280
34	12353.761	2139.611	0.280
35	11913.481	2512.067	0.280
36	11937.960	2213.978	0.280
37	11849.343	2491.399	0.280
38	11849.343	2491.399	0.280
39	11849.343	2491.399	0.280
40	11849.343	2491.399	0.280
41	12072.503	2154.584	0.280
42	11973.050	2133.559	0.280
43	11881.231	1969.816	0.280
44	11915.888	2218.997	0.280
45	12996.530	2364.695	0.280
46	12996.530	2364.695	0.280
47	12996.530	2364.695	0.280
48	12996.530	2364.695	0.280
49	12996.530	2364.695	0.280
1	12303.075	2302.695	0.300
2	11571.081	1866.291	0.300
3	11879.259	1960.867	0.300
4	11983.814	2130.225	0.300
5	12076.923	1967.086	0.300
6	12690.208	2489.619	0.300
7	13127.487	2105.949	0.300
8	13396.253	2167.657	0.300
9	12579.523	2131.837	0.300
10	12551.783	2596.402	0.300
11	12551.783	2596.402	0.300
12	13204.596	2674.717	0.300
13	12712.503	2036.487	0.300
14	12712.503	2036.487	0.300
15	13128.278	2032.299	0.300
16	13128.278	2032.299	0.300
17	13128.278	2032.299	0.300
18	12836.280	2204.405	0.300
19	12892.737	2106.609	0.300
20	12582.795	2126.283	0.300
21	13731.252	2027.114	0.300
22	13177.391	2069.097	0.300
23	14533.613	2225.281	0.300
24	13433.363	2086.439	0.300
25	13433.363	2086.439	0.300
26	13433.363	2086.439	0.300
27	13433.363	2086.439	0.300
