Iteration	expexted_value	risk	lambda
60	2986.718	4722.622	0.060
61	2778.685	4353.725	0.060
62	2939.397	4413.982	0.060
63	3260.446	5199.055	0.060
64	2986.177	4599.218	0.060
65	3261.830	5602.515	0.060
66	3055.234	4962.264	0.060
67	3249.158	5044.919	0.060
68	2992.095	3661.031	0.060
69	2802.459	3627.905	0.060
70	3034.692	3980.731	0.060
71	3147.217	4762.215	0.060
72	2890.378	3764.174	0.060
73	3035.992	4519.934	0.060
74	3054.414	4056.779	0.060
75	2667.944	4348.653	0.060
76	2780.700	3899.053	0.060
77	2666.834	3637.540	0.060
78	2758.646	3807.708	0.060
79	2623.339	4178.921	0.060
80	2825.982	3918.101	0.060
81	2695.892	3925.024	0.060
82	2776.906	4357.071	0.060
83	3221.746	4739.611	0.060
84	2974.255	4638.574	0.060
85	2764.360	4715.229	0.060
86	2846.848	4350.749	0.060
87	3190.062	5710.647	0.060
88	3050.323	4803.232	0.060
89	2892.641	4328.478	0.060
90	3124.874	4672.494	0.060
91	3032.995	4966.791	0.060
92	2857.195	3869.468	0.060
93	2570.750	3546.800	0.060
94	2672.580	3588.079	0.060
95	2406.214	3593.686	0.060
96	2595.857	3697.559	0.060
97	2779.276	4814.199	0.060
98	2739.873	4194.295	0.060
99	2661.766	4477.151	0.060
1	3892.851	5323.576	0.070
2	3646.631	5486.929	0.070
3	3682.962	4762.723	0.070
4	3600.015	5131.881	0.070
5	3633.102	4415.874	0.070
6	3539.626	4919.125	0.070
7	3540.424	4808.229	0.070
8	3743.260	6375.520	0.070
9	3510.036	4791.689	0.070
10	3239.097	4372.175	0.070
11	3332.351	4512.658	0.070
12	3546.761	4865.736	0.070
13	3033.165	4553.597	0.070
14	3254.415	4365.151	0.070
15	3026.877	3601.108	0.070
16	3248.127	3708.116	0.070
17	2911.640	3368.708	0.070
18	3132.890	3492.166	0.070
19	3058.021	4301.705	0.070
20	3465.449	4008.583	0.070
21	3363.461	4841.175	0.070
22	3622.182	4138.116	0.070
23	3210.174	3801.898	0.070
24	3156.703	3655.891	0.070
25	2969.206	3633.439	0.070
26	3175.719	3854.276	0.070
27	3358.423	5058.104	0.070
28	3373.576	4849.076	0.070
29	3170.575	4847.871	0.070
30	3342.245	4468.365	0.070
31	3099.499	4203.107	0.070
32	3514.716	4131.142	0.070
33	3657.782	4678.838	0.070
34	3693.950	4617.117	0.070
35	3822.910	5174.245	0.070
36	3929.241	4551.747	0.070
37	3597.134	4934.454	0.070
38	3608.900	4162.912	0.070
39	3368.833	4102.358	0.070
40	3264.553	3768.210	0.070
41	2921.548	3290.537	0.070
42	2965.471	3157.020	0.070
43	2743.838	3037.436	0.070
44	2911.555	3171.739	0.070
45	2713.104	3131.800	0.070
46	2861.388	3203.773	0.070
47	3035.239	4424.898	0.070
48	3129.953	3948.659	0.070
49	3468.815	4422.569	0.070
50	3331.501	4451.073	0.070
51	3506.061	4543.276	0.070
52	3317.026	4488.956	0.070
53	3268.958	3861.207	0.070
54	3416.146	4222.157	0.070
